APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
Y,22020,49,0,1,V4A7K6,1,1,6425.255,4113.083333,10614.36333,,3259.934167,97436.07417,0,0,0.416666667,5.666666667,22.5,0.833333333,5.75,0,5,0,-1,B,220,90,489,35309.09091,2869.230769
Y,22063,46,0,1,V3W5J9,1,1,0,250.2775,329.805,824.055,3314.565,,0,0,0.083333333,1.583333333,31.75,0.166666667,0,0,4.4,-1,-1,D,830,290,1103,28583.13253,1362.5
Y,22080,22,0,1,V2X4P2,1,0,740.2625,731.155,1568.4625,25600.78167,1094.348571,164966.025,1,0,5.166666667,3.833333333,70.5,2.166666667,5.5,0,5.7,1,1,A,740,220,1030,33401.35135,2706.25
N,22083,24,1,0,V7L4W5,1,1,96.90916667,498.4183333,677.795,12049.04,263.0491667,159757.1042,0,0,1.583333333,10.83333333,24.16666667,2.083333333,13,0,6,0,0,A,800,,,31752.5,2113.043478
Y,22116,34,0,1,V3E1H2,1,1,886.4016667,1468.753333,2414.015,17197.94,3421.826667,,0,0,1.083333333,13.66666667,25.16666667,2,6.5,0,5,0,2,A,850,370,1401,31348.23529,1580
N,22159,52,0,1,V3A3T7,1,1,1895.443333,5195.455,7166.503333,,17342.14167,98192.61833,0,0,0.583333333,8.583333333,49,3.833333333,17.33333333,0,5,0,-1,B,660,240,1021,33754.54546,4496.153846
Y,22181,45,1,0,V3H1G3,1,0,573.8225,0,661.4225,,141.7741667,174931.855,0,0,0.916666667,7.583333333,20.25,6.75,1.916666667,0,5,0,0,A,600,300,1391,39138.33333,3392.307692
N,22191,45,0,1,V2V5B6,1,1,0,0,53.5925,,808.3958333,,0,0,0.083333333,3.833333333,10.75,0.5,3.5,0,4,0,0,D,760,270,953,29705.26316,2308
N,22199,36,0,1,V4P2N1,1,0,1647.904167,0,1954.195,,54331.50333,122548.1758,0,0,1.583333333,1.833333333,2.583333333,0.75,0.25,0,5,0,0,C,640,300,2369,62737.5,9113.72549
N,22223,43,0,1,V3V7N5,1,0,1771.088333,0,1864.458333,,4120.958333,159216.9567,0,0,5.75,2.166666667,7.75,0.166666667,0,0,5,0,1,A,1020,240,950,21559.80392,1250
N,22239,31,0,1,V5E2E5,1,0,0,6.31,68.97833333,3577.6425,3438.5475,,0,0,1.5,1.583333333,6.416666667,0,0,0,3,0,0,D,730,,,21506.84931,2787.096774
Y,22240,34,1,0,V6H2P7,1,1,1397.225833,17.64,1433.450833,9291.183333,0,,0,0,0.25,6.166666667,26.41666667,3.166666667,3,0,5,0,0,D,580,280,1327,35205.17241,2159.090909
N,22321,23,0,1,V6T1W9,1,1,861.2208333,2410.433333,3330.634167,,0,,0,0,1,5,26.5,1.916666667,2.083333333,0,4,0,0,D,11090,,,67859.60325,15139.31145
Y,22363,59,1,0,V4N1S8,1,0,1932.773333,116.2491667,2106.395,,55176.14,,0,0,4.166666667,2.583333333,12.33333333,2.166666667,0,0.333333333,4,0,0,C,760,350,1834,38447.36842,2795.238095
